	TCGA-06-0171-02A-11R-2005-01	TCGA-32-2634-01A-01R-1850-01	TCGA-12-3652-01A-01R-1849-01	TCGA-32-2638-01A-01R-1850-01	TCGA-06-0882-01A-01R-1849-01	TCGA-06-0168-01A-01R-1849-01	TCGA-12-1597-01B-01R-1849-01	TCGA-28-2513-01A-01R-1850-01	TCGA-32-2616-01A-01R-1850-01	TCGA-41-2572-01A-01R-1850-01	TCGA-06-0750-01A-01R-1849-01	TCGA-27-2521-01A-01R-1850-01	TCGA-06-5859-01A-01R-1849-01	TCGA-28-5208-01A-01R-1850-01	TCGA-16-0846-01A-01R-1850-01	TCGA-06-2567-01A-01R-1849-01	TCGA-06-0178-01A-01R-1849-01	TCGA-06-0744-01A-01R-1849-01	TCGA-06-0211-02A-02R-2005-01	TCGA-14-0817-01A-01R-1849-01	TCGA-12-3650-01A-01R-1849-01	TCGA-06-0139-01A-01R-1849-01	TCGA-06-0644-01A-02R-1849-01	TCGA-06-2569-01A-01R-1849-01	TCGA-27-1830-01A-01R-1850-01	TCGA-32-1970-01A-01R-1850-01	TCGA-27-2523-01A-01R-1850-01	TCGA-14-0871-01A-01R-1849-01	TCGA-28-5213-01A-01R-1850-01	TCGA-06-0190-02A-01R-2005-01	TCGA-27-1834-01A-01R-1850-01	TCGA-06-5417-01A-01R-1849-01	TCGA-76-4931-01A-01R-1850-01	TCGA-02-2486-01A-01R-1849-01	TCGA-06-0130-01A-01R-1849-01	TCGA-14-0789-01A-01R-1849-01	TCGA-14-0790-01B-01R-1849-01	TCGA-06-0125-02A-11R-2005-01	TCGA-28-5220-01A-01R-1850-01	TCGA-27-1835-01A-01R-1850-01	TCGA-27-2524-01A-01R-1850-01	TCGA-14-2554-01A-01R-1850-01	TCGA-06-5408-01A-01R-1849-01	TCGA-06-2570-01A-01R-1849-01	TCGA-28-1753-01A-01R-1850-01	TCGA-27-1837-01A-01R-1850-01	TCGA-41-5651-01A-01R-1850-01	TCGA-28-5216-01A-01R-1850-01	TCGA-06-2565-01A-01R-1849-01	TCGA-12-5295-01A-01R-1849-01	TCGA-16-1045-01B-01R-1850-01	TCGA-14-0736-02A-01R-2005-01	TCGA-06-2559-01A-01R-1849-01	TCGA-06-2558-01A-01R-1849-01	TCGA-28-5218-01A-01R-1850-01	TCGA-26-5139-01A-01R-1850-01	TCGA-02-0055-01A-01R-1849-01	TCGA-28-2499-01A-01R-1850-01	TCGA-76-4928-01B-01R-1850-01	TCGA-19-2629-01A-01R-1850-01	TCGA-06-0743-01A-01R-1849-01	TCGA-06-2562-01A-01R-1849-01	TCGA-06-5412-01A-01R-1849-01	TCGA-06-0157-01A-01R-1849-01	TCGA-12-0616-01A-01R-1849-01	TCGA-06-0646-01A-01R-1849-01	TCGA-12-0821-01A-01R-1849-01	TCGA-06-0174-01A-01R-1849-01	TCGA-15-0742-01A-01R-1850-01	TCGA-19-2619-01A-01R-1850-01	TCGA-27-1831-01A-01R-1850-01	TCGA-12-0618-01A-01R-1849-01	TCGA-32-4213-01A-01R-1850-01	TCGA-32-2615-01A-01R-1850-01	TCGA-28-2514-01A-02R-1850-01	TCGA-02-0047-01A-01R-1849-01	TCGA-27-2519-01A-01R-1850-01	TCGA-06-0747-01A-01R-1849-01	TCGA-06-5411-01A-01R-1849-01	TCGA-28-2510-01A-01R-1850-01	TCGA-41-2571-01A-01R-1850-01	TCGA-06-0190-01A-01R-1849-01	TCGA-06-5414-01A-01R-1849-01	TCGA-06-0645-01A-01R-1849-01	TCGA-06-5410-01A-01R-1849-01	TCGA-06-5413-01A-01R-1849-01	TCGA-06-0125-01A-01R-1849-01	TCGA-06-2564-01A-01R-1849-01	TCGA-76-4926-01B-01R-1850-01	TCGA-06-1804-01A-01R-1849-01	TCGA-19-5960-01A-11R-1850-01	TCGA-06-0878-01A-01R-1849-01	TCGA-06-0132-01A-02R-1849-01	TCGA-14-0781-01B-01R-1849-01	TCGA-76-4927-01A-01R-1850-01	TCGA-14-0787-01A-01R-1849-01	TCGA-19-4065-02A-11R-2005-01	TCGA-19-4065-01A-01R-2005-01	TCGA-19-0957-02A-11R-2005-01	TCGA-26-5133-01A-01R-1850-01	TCGA-02-2483-01A-01R-1849-01	TCGA-06-0678-11A-32R-A36H-07	TCGA-14-1823-01A-01R-1849-01	TCGA-28-2509-01A-01R-1850-01	TCGA-06-2563-01A-01R-1849-01	TCGA-06-0158-01A-01R-1849-01	TCGA-76-4929-01A-01R-1850-01	TCGA-06-0129-01A-01R-1849-01	TCGA-27-2528-01A-01R-1850-01	TCGA-14-1402-02A-01R-2005-01	TCGA-26-1442-01A-01R-1850-01	TCGA-32-1982-01A-01R-1850-01	TCGA-06-0686-01A-01R-1849-01	TCGA-28-5215-01A-01R-1850-01	TCGA-06-5858-01A-01R-1849-01	TCGA-32-1980-01A-01R-1850-01	TCGA-06-2561-01A-02R-1849-01	TCGA-76-4932-01A-01R-1850-01	TCGA-28-5207-01A-01R-1850-01	TCGA-27-1832-01A-01R-1850-01	TCGA-14-1825-01A-01R-1850-01	TCGA-06-0210-01A-01R-1849-01	TCGA-06-0210-02A-01R-2005-01	TCGA-32-5222-01A-01R-1850-01	TCGA-06-0749-01A-01R-1849-01	TCGA-06-0238-01A-02R-1849-01	TCGA-06-5856-01A-01R-1849-01	TCGA-19-2625-01A-01R-1850-01	TCGA-06-0152-02A-01R-2005-01	TCGA-06-0184-01A-01R-1849-01	TCGA-06-0219-01A-01R-1849-01	TCGA-12-3653-01A-01R-1849-01	TCGA-26-5132-01A-01R-1850-01	TCGA-06-0187-01A-01R-1849-01	TCGA-26-5136-01B-01R-1850-01	TCGA-06-5416-01A-01R-1849-01	TCGA-41-3915-01A-01R-1850-01	TCGA-19-1787-01B-01R-1850-01	TCGA-06-0141-01A-01R-1849-01	TCGA-15-1444-01A-02R-1850-01	TCGA-32-2632-01A-01R-1850-01	TCGA-06-5418-01A-01R-1849-01	TCGA-02-2485-01A-01R-1849-01	TCGA-19-1390-01A-01R-1850-01	TCGA-12-5299-01A-02R-1849-01	TCGA-06-0211-01B-01R-1849-01	TCGA-06-0211-01A-01R-1849-01	TCGA-41-4097-01A-01R-1850-01	TCGA-27-2526-01A-01R-1850-01	TCGA-06-0138-01A-02R-1849-01	TCGA-06-0649-01B-01R-1849-01	TCGA-26-5135-01A-01R-1850-01	TCGA-06-0681-11A-41R-A36H-07	TCGA-06-2557-01A-01R-1849-01	TCGA-06-AABW-11A-31R-A36H-07	TCGA-28-5204-01A-01R-1850-01	TCGA-06-0745-01A-01R-1849-01	TCGA-19-1389-02A-21R-2005-01	TCGA-08-0386-01A-01R-1849-01	TCGA-19-2620-01A-01R-1850-01	TCGA-28-5209-01A-01R-1850-01	TCGA-06-0156-01A-03R-1849-01	TCGA-06-0156-01A-02R-1849-01	TCGA-06-0675-11A-32R-A36H-07	TCGA-26-5134-01A-01R-1850-01	TCGA-06-0680-11A-32R-A36H-07	TCGA-19-2624-01A-01R-1850-01	TCGA-14-1829-01A-01R-1850-01	TCGA-28-1747-01C-01R-1850-01	TCGA-06-0221-02A-11R-2005-01	TCGA-76-4925-01A-01R-1850-01	TCGA-14-1034-02B-01R-2005-01	TCGA-12-0619-01A-01R-1849-01	TCGA-14-1034-01A-01R-1849-01
SULF1	26.9694	9.5011	0.1982	4.6374	5.3986	26.2447	2.4674	4.906	11.4947	0.3673	9.5244	24.3668	130.2185	56.4598	22.1892	22.5553	7.6019	0.6241	7.1023	1.768	1.0554	11.0884	88.4742	76.3249	19.3919	4.3292	1.7822	15.9284	35.9952	22.1147	24.6636	29.2573	2.8153	18.7983	11.8849	5.7462	7.4136	6.2962	74.2699	0.598	3.4815	8.3197	8.5705	23.858	13.9987	2.5162	6.3766	22.5759	0.54	2.4689	4.3497	3.6828	7.9362	6.6755	112.4541	10.1022	82.0919	0.6514	18.2746	110.4186	3.3667	10.4715	11.7428	21.1947	7.0622	48.999	29.6218	6.9714	0.3826	12.813	1.4537	27.2827	1.6845	10.5839	1.3495	76.0927	14.7066	2.1992	6.2981	11.675	1.1543	28.1689	3.8052	6.9608	5.1647	24.8979	1.2787	6.0898	31.6529	18.7976	40.3395	7.1004	4.1303	24.8576	16.3116	7.1698	18.2939	18.0134	8.1567	1.9746	6.467	6.2377	6.1603	6.2788	1.6159	11.862	64.2352	27.1399	9.9189	3.0614	46.3974	1.8593	7.8539	62.6266	16.3486	21.9587	41.5019	0.8146	67.3367	73.3679	12.6147	11.1592	15.1439	3.4658	18.8639	14.9596	8.652	17.2309	4.2853	2.456	1.6551	0.4914	2.1555	1.3159	24.0741	2.2304	39.6298	34.0516	22.4108	51.5646	13.9533	5.3624	47.5122	2.4683	4.492	2.0596	1.2513	68.1947	1.3742	17.9688	104.7174	6.4306	3.4206	1.4391	5.2807	1.3177	5.2029	178.4258	13.5748	7.7071	3.5535	34.9724	42.1254	5.2608	8.1968	5.3175	2.5944	2.2665	2.7166	36.195	5.7036	4.6573	0.8241	1.1568
FGF2	23.7716	15.9893	11.3527	24.8879	23.0985	14.7501	7.478	21.4362	12.7902	18.0078	12.7672	18.6922	27.479	13.7241	18.9834	31.6614	4.8978	6.3498	13.7475	7.6685	7.7798	6.2345	8.124	12.0745	18.5005	21.7269	14.9493	12.5909	21.041	9.0246	23.3002	31.622	29.7835	19.541	7.7853	21.11	21.8553	40.2496	13.6428	16.5313	14.159	19.9245	22.5723	14.9029	10.0212	14.392	13.81	15.3715	21.5641	12.9243	22.186	10.3593	13.0966	13.6528	1.9005	28.5612	13.433	19.3017	12.9049	13.0631	10.0828	16.8547	17.7949	13.4407	7.3393	15.1708	13.2564	11.7638	9.5262	32.1363	29.5123	11.8769	18.2363	13.905	16.4757	26.2655	22.9694	19.9896	10.0716	9.9543	7.7736	18.1533	27.7431	14.3017	17.1152	16.3542	21.1169	27.8982	24.2883	21.829	18.7328	25.2677	12.1264	21.2887	15.4689	20.0482	10.1681	18.1257	21.55	28.712	9.6363	16.1558	16.381	20.06	16.8957	28.5492	26.7223	16.0448	15.561	15.608	18.7237	9.4943	7.2505	19.2505	16.8673	12.7185	31.3273	22.4687	23.8627	26.1752	8.4397	15.2237	15.4724	12.0163	9.8839	6.5217	20.0257	15.1855	18.6275	13.5896	4.4284	17.4606	15.8272	26.7087	20.4749	10.0439	18.3895	15.8151	12.0364	26.1383	16.9053	29.1263	11.0421	7.4564	24.6952	12.8375	17.6708	23.0932	26.6126	9.3611	11.2887	8.8956	10.7875	16.1062	12.9954	21.4722	7.206	30.8963	18.8381	21.0835	28.9606	16.218	21.2299	14.2853	10.1032	14.4609	10.2319	11.8027	20.887	19.0422	19.0135	14.7178	12.3106	29.7454
WNT5A	19.6247	39.287	3.1042	15.0681	11.6396	11.0376	9.323	20.7159	2.9957	7.771	7.3346	41.858	17.3875	13.6538	19.2766	18.0823	21.7674	5.8689	12.1575	17.9413	9.0356	21.5893	29.7685	63.0818	38.452	10.7081	3.0387	11.4286	21.1271	48.5668	61.0775	29.7155	11.0777	16.8942	58.2202	14.0565	9.8768	56.0416	27.5436	13.0224	9.4813	23.9521	22.6565	25.7924	12.3804	10.0073	24.979	31.8429	10.5428	5.3786	24.4708	11.5425	15.604	16.1698	21.4666	17.1958	36.4052	9.8753	10.1972	64.0731	14.7433	12.6851	22.3201	6.9897	15.769	18.972	23.3476	10.3218	5.8019	9.8229	14.0773	24.419	5.5896	21.1085	5.8747	30.4013	28.3661	12.5166	9.2802	7.5255	6.6477	30.3522	13.0408	15.3245	20.0912	17.4196	21.5308	17.0163	10.2115	29.1194	44.7607	17.2806	14.2387	7.2982	17.3712	13.038	83.7945	20.8741	12.5494	22.8208	6.7982	3.3476	28.3205	15.8313	13.1642	14.4354	42.8344	43.7828	11.1576	11.2645	11.0916	14.9777	14.3512	31.8348	11.3906	8.7184	19.9446	9.1595	28.9499	16.8265	96.7352	24.8667	21.6929	15.4778	10.6782	11.7001	17.2654	6.5494	15.0711	13.1916	5.7919	7.947	11.7693	13.8257	24.1704	6.3732	29.507	19.6913	18.6472	30.2504	17.592	12.3195	17.7321	11.7479	19.6688	8.9813	14.3346	11.4527	5.7448	14.6882	40.2779	6.6328	3.3525	10.9439	2.1151	25.5043	9.0837	18.7086	31.1	9.8228	24.4572	35.6339	35.2274	4.2305	20.2744	4.6271	5.1622	21.2713	12.5496	9.9672	5.5977	6.6032	27.4877	25.7827
NRXN1	5.1181	12.3363	1.7135	4.5653	14.1938	5.0819	13.1321	1.5922	4.9965	2.3503	2.1132	9.6214	9.6151	4.2593	8.5018	16.0402	2.9764	2.0151	3.0046	2.1915	16.3052	2.0065	0.2313	3.9145	4.3124	9.3702	13.8413	0.8883	2.7975	0.0752	8.3275	18.8066	6.3985	0.5517	0.1995	1.0694	12.1668	9.6136	8.8888	5.5799	1.1882	5.2261	12.6904	13.1463	11.5932	10.0252	19.0683	5.693	0.9358	8.1191	14.7074	3.6884	15.2067	16.5018	2.5013	3.3352	0.7934	2.8843	1.4883	4.9496	1.3253	1.3658	4.6921	15.5669	1.6911	13.8105	3.1	18.8915	9.6263	24.9065	1.3206	26.8139	6.5509	3.7589	30.7928	9.6467	8.2091	1.1524	14.6772	18.7169	5.4857	1.6883	0.5196	2.9185	2.673	9.6855	9.1709	4.1261	12.1966	29.6488	33.4458	5.819	9.8107	0.9225	1.4251	3.7526	5.3285	4.8424	11.7519	3.5469	7.4657	28.2952	1.057	0.228	4.3341	14.4366	7.4149	17.827	2.6379	4.569	11.2521	6.9711	3.5512	8.5737	8.2062	10.5054	9.5966	1.7574	18.2435	0.4461	14.2234	1.1311	6.3712	8.4675	5.9612	6.5073	12.1662	3.2966	3.6473	2.1217	7.9442	7.0586	12.6653	1.0825	15.2826	10.1378	2.319	1.6226	4.9013	15.2507	2.6031	3.1849	15.4276	8.2666	1.9701	5.3276	1.9447	10.171	1.8731	6.2335	8.1739	16.6101	37.0264	7.3889	11.2325	3.5146	5.208	1.4534	10.3592	2.1265	4.0202	8.7592	10.2296	51.0688	20.1738	54.6635	18.6152	4.05	13.9077	49.3392	2.0775	2.8006	2.653	11.5782
