gene	pvalue	FC	fdr
DPH7	1	1.1002065387880569	1.0
DPM1	1	0.9519765035545125	1.0
DPM3	1	0.9213891361347267	1.0
DPP10	1	1.107060938225454	1.0
DPP4	1	1.1336447082209897	1.0
DPP6	1	1.127303264417879	1.0
DPP7	1.1913854111450234e-10	1.4167089963783737	3.039025619595764e-08
DPP8	1	0.9921798834307062	1.0
DPP9	1	1.054899848438836	1.0
DPPA2	1	0.9641201879627114	1.0
DPPA3	1	0.8834879197871285	1.0
DPPA5	1	1.1080731881461445	1.0
DPRX	1	1.0338088647598944	1.0
DPT	1	1.0376910457047128	1.0
DPY19L1	1	1.1141689849501826	1.0
DPY19L3	1	1.0249098870501645	1.0
DPY19L4	1	0.9505371657946106	1.0
DPYD	1	0.92832344185815	1.0
DPYS	1	1.0890879227891355	1.0
DPYSL2	1	1.0519643046828844	1.0
DPYSL3	1	0.9543944878338473	1.0
DPYSL4	1	0.9951883978524705	1.0
DPYSL5	2.704444883299203e-08	1.405183145521371	8.068524159628519e-07
DQX1	1	1.0757051471439223	1.0
DRAM1	1.395576956761169e-05	1.3043648213120151	0.00019002940679029975
DRAM2	1	0.9942412356743854	1.0
DRAXIN	1	0.8746438780975635	1.0
DRC1	3.55032852521217e-08	1.721172407812096	1.011876686748087e-06
DRC3	1	1.0182179419381385	1.0
DRC7	1	0.984913371664766	1.0
DRD1	1	1.0166089678761854	1.0
DRD2	9.814740241699706e-05	1.3623765029922397	0.0010996676383544215
DRD3	1	1.0813250487389803	1.0
DRD4	7.486665923635326e-07	1.524736634657039	1.3496280560805497e-05
DRG1	1	1.0763888852080576	1.0
DRG2	1	1.1223668182390165	1.0
DRGX	1.4892317639312792e-08	1.6880152277672984	5.020416772459963e-07
DRICH1	0.0006473437904102108	1.2049225105119468	0.00614996692255014
DROSHA	1	1.092702266032472	1.0
DRP2	0.005145996159865781	0.8054365028460623	0.03934039521815474
DSC2	3.130996602051456e-05	1.3217103045727103	0.0003953787375775374
DSC3	0.0034257572666228464	1.3775811930146695	0.027350659867325332
DSCAM	1	0.9871059669984963	1.0
DSCAML1	1	0.9717511014721862	1.0
DSCC1	2.6627463939091275e-07	1.2626164978139687	5.404951400368594e-06
DSE	1	1.1300899959280681	1.0
DSEL	0.3248693054518298	0.6452627901299915	1.0
DSG1	1	1.1593669081671845	1.0
DSG2	0.10233787828818197	1.1919180070249575	0.6073211427687574
DSG3	1	0.9792359266189617	1.0
DSN1	1	1.1222469529386851	1.0
DSP	1	1.0556553361465002	1.0
DST	1	1.1041848848856457	1.0
DSTN	1	1.148646919567845	1.0
DSTYK	1	1.0245752675680992	1.0
DTD1	1	1.034749160509293	1.0
DTHD1	1	1.1544870313443747	1.0
DTL	0.002710539415369915	1.3474340661111741	0.022327667250934633
DTNA	1	1.171870068900406	1.0
DTNB	1	1.1386481252845313	1.0
DTNBP1	1	1.1605272215281894	1.0
DTWD1	1	1.0184458389226896	1.0
DTWD2	1	0.9906645597531745	1.0
DTX1	1	1.0749587236330735	1.0
DTX2	1	1.0	1.0
DTX3	1	1.0221069357137176	1.0
DTX3L	1	1.1238992028815789	1.0
DTX4	1	1.0056822090594455	1.0
DTYMK	1	1.0776467875523295	1.0
DUOX1	1	1.0964288725014408	1.0
DUOX2	1	1.089321960356202	1.0
DUOXA1	1	0.9790099160468242	1.0
DUOXA2	2.6627463939091275e-07	2.315814163667683	5.404951400368594e-06
DUS1L	1	0.9833547377606737	1.0
DUS2	1	1.0509320744360966	1.0
DUS3L	1	0.9873942917827538	1.0
DUSP10	1	1.1135877608453018	1.0
DUSP11	1	0.928399378489577	1.0
DUSP12	1	1.0547412649341066	1.0
DUSP14	1	1.064796645851989	1.0
DUSP15	1	0.9882432459353718	1.0
DUSP16	1	1.059017919902269	1.0
DUSP19	1	0.921909286042178	1.0
DUSP2	1	1.020352023396629	1.0
DUSP21	1	0.9937636885534296	1.0
DUSP22	1	1.0594821492388178	1.0
DUSP23	1	0.8772440235641193	1.0
DUSP26	1	0.9785286206619425	1.0
DUSP29	1	1.0087128736527047	1.0
DUSP3	1	1.0202744231471408	1.0
DUSP4	3.4272584122408895e-06	1.263898981801384	5.293056508511283e-05
DUSP5	5.242095809038103e-09	2.048856875414207	2.431220495676611e-07
DUSP6	1.5260520130568019e-07	2.2229370918476916	3.3654504408983217e-06
DUSP7	1	1.0289812483691552	1.0
DUSP8	1.395576956761169e-05	1.2248410731541297	0.00019002940679029975
DUSP9	0.0034257572666228464	1.4458920176679415	0.027350659867325332
DUT	1	1.0338634723907951	1.0
DUXA	1	1.066451081227644	1.0
DVL1	1	1.0095089492247142	1.0
DVL2	1	0.9957995084133973	1.0
DVL3	1	1.0307019375825315	1.0
DYDC2	0.1886954229734377	0.7474617767266161	1.0
DYM	1	1.1006579943055033	1.0
DYNAP	1	1.1309538625475064	1.0
DYNC1H1	1	1.0076643819441329	1.0
DYNC1I1	1	1.1718564322540226	1.0
DYNC1I2	0.031121982677724345	0.7806311195661797	0.20566577931026386
DYNC1LI1	1	0.9711618517831871	1.0
DYNC1LI2	1	0.9311709186769023	1.0
DYNC2H1	0.16100157048007907	1.2022646175349183	0.9239328969619836
DYNC2I1	1	1.0336094900309472	1.0
DYNC2I2	1	1.058489137293495	1.0
DYNC2LI1	1	1.1616987007008255	1.0
DYNLL1	1	1.0412338262332272	1.0
DYNLL2	0.20467934681630037	0.8198715978141626	1.0
DYNLT1	1	1.0134673008555624	1.0
DYNLT2	1	0.9690539720943818	1.0
DYNLT4	1	1.012469599124139	1.0
DYNLT5	4.352011768371657e-06	1.8673803639448763	6.523755153274066e-05
DYRK1A	1	0.9904882087457351	1.0
DYRK1B	1	0.9505807730859314	1.0
DYRK2	1	1.067045590500459	1.0
DYRK3	1	1.0993402425711643	1.0
DYRK4	1	1.1379453818485126	1.0
DYSF	1	1.1647420418062733	1.0
DYTN	1	1.0093966688209963	1.0
DZANK1	1	1.134538002894302	1.0
DZIP1	2.2636322811755446e-09	1.2320659588960232	1.4869052387721764e-07
DZIP1L	1	1.164989330813915	1.0
DZIP3	1	1.016642627811886	1.0
E2F1	1	1.0093365325797006	1.0
E2F2	1	0.946574480098777	1.0
E2F3	1	1.0575733630395856	1.0
E2F4	1	1.0234080224969246	1.0
E2F5	1	1.1262257557765607	1.0
E2F6	1	1.095398969495552	1.0
E2F7	1	1.0208164477469486	1.0
E4F1	1	1.0865047812567328	1.0
EAF2	1	1.0806561203697405	1.0
EAPP	1	0.979935282073464	1.0
EARS2	0.006353611933605374	1.221577451689875	0.04792608705955162
EBAG9	1.4892317639312792e-08	1.7254312543555812	5.020416772459963e-07
EBF1	0.0012076990515798322	1.2277459942949398	0.010752666657608686
EBF2	0.01747983185694143	0.8342176029219427	0.12099901699253214
EBF3	1	1.0259205723913007	1.0
EBF4	1.072246870030521e-08	1.5169036627297554	3.9260139583294556e-07
EBI3	0.00018910062402879488	1.3000981065793127	0.0019932403930858853
EBLN1	1	1.022484842811944	1.0
EBNA1BP2	1	1.0250976480829597	1.0
EBPL	0.010110840857443008	1.2097749615586642	0.07289044716117063
ECE1	1	1.098670630177414	1.0
ECEL1	1	1.0787187861135867	1.0
ECH1	1	1.0068362977259402	1.0
ECHDC1	1	0.933111509154368	1.0
ECHDC2	7.62486663132815e-09	1.4198553716697015	3.120282989103672e-07
ECHDC3	1	1.064095211062379	1.0
ECHS1	1	1.049381107830094	1.0
ECI1	1	1.113285845448881	1.0
ECM1	6.867574408587927e-05	1.1973052757239844	0.0007993021013189218
ECPAS	1	1.0188071391016844	1.0
ECRG4	1	1.0788894417832622	1.0
ECSIT	1	1.0410663818527075	1.0
ECT2	1	1.1371207766887412	1.0
ECT2L	5.411272537420696e-07	1.1963141610116665	1.0014452984912183e-05
EDA	1	1.0490194512204627	1.0
EDA2R	0.006805065394528674	0.7121049020282083	0.05105466954081439
EDAR	1	1.122068914737711	1.0
EDARADD	4.5665802809188747e-07	1.1957212585956547	8.649939504884081e-06
EDC3	1	0.8820672011879067	1.0
EDC4	1	1.0835005754947888	1.0
